project;watchers;stargazers;subscribers;forks;is_forked
circe/circe-magnolia;78;78;3;10;false
vpavkin/circe-magnolia;78;78;3;10;false
circe/circe-magnolia;78;78;3;10;false
vpavkin/circe-magnolia;78;78;3;10;false
circe/circe-magnolia;78;78;3;10;false
ThoughtWorksInc/sbt-api-mappings;76;76;33;15;false
vigoo/prox;76;76;5;6;false
vigoo/prox;76;76;5;6;false
ThoughtWorksInc/sbt-api-mappings;76;76;33;15;false
sake92/hepek;75;75;4;7;false
sake92/hepek;75;75;4;7;false
laserdisc-io/laserdisc;73;73;2;14;false
laserdisc-io/laserdisc;73;73;2;14;false
laserdisc-io/laserdisc;73;73;2;14;false
finagle/finagle-postgres;72;72;10;39;false
finagle/finagle-postgres;72;72;10;39;false
spotify/noether;71;71;27;12;false
spotify/noether;71;71;27;12;false
spotify/noether;71;71;27;12;false
typelevel/claimant;70;70;6;8;false
slamdata/tectonic;69;69;11;11;false
http4s/http4s.g8;68;68;18;51;false
mfirry/web-frameworks-templates;67;67;4;17;false
ChristopherDavenport/cats-time;67;67;4;15;false
mfirry/web-frameworks-templates;67;67;4;17;false
ChristopherDavenport/cats-time;67;67;4;15;false
ChristopherDavenport/cats-time;67;67;4;15;false
mfirry/web-frameworks-templates;67;67;4;17;false
typesafehub/ssl-config;66;66;10;39;false
typesafehub/ssl-config;66;66;10;39;false
lightbend/ssl-config;66;66;10;39;false
lightbend/ssl-config;66;66;10;39;false
typesafehub/ssl-config;66;66;10;39;false
lightbend/ssl-config;66;66;10;39;false
lightbend/lightbend-emoji;64;64;17;15;false
typesafehub/lightbend-emoji;64;64;17;15;false
lightbend/lightbend-emoji;64;64;17;15;false
typesafehub/lightbend-emoji;64;64;17;15;false
sizmek/fast-string-interpolator;63;63;13;4;false
embeddedkafka/embedded-kafka-schema-registry;63;63;3;16;false
ChristopherDavenport/cats-par;63;63;2;7;false
embeddedkafka/embedded-kafka-schema-registry;63;63;3;16;false
ChristopherDavenport/cats-par;63;63;2;7;false
Sizmek/fast-string-interpolator;63;63;13;4;false
ChristopherDavenport/cats-par;63;63;2;7;false
plokhotnyuk/fast-string-interpolator;63;63;13;4;false
nevillelyh/shapeless-datatype;63;63;8;7;false
nevillelyh/shapeless-datatype;63;63;8;7;false
